Arquivo,Real_mm2,IA_mm2,Erro_Abs_mm2,Erro_Perc,N_Colonias,Px_Escala,Fator_Conv
d1_t3_20uL_r3,47.98,56.17552895867743,8.195528958677436,17.081135803829586,1,1277510.0,0.001252
d1_t3_20uL_r4,47.86,52.17397407318883,4.313974073188831,9.013736049287152,1,1282340.5,0.001248
d1_t3_20uL_r5,57.89,66.85688305048696,8.966883050486956,15.489519866102878,1,1281172.5,0.001249
d1_t3_40uL_r1,65.33,63.46098937179753,1.8690106282024672,2.860876516458698,1,1255574.5,0.001274
d1_t3_40uL_r2,62.36,71.09501473991806,8.735014739918057,14.007400160227801,1,1257978.5,0.001272
d1_t3_40uL_r3,53.01,118.3718531234497,65.36185312344969,123.30098683918071,1,1269910.0,0.00126
d1_t3_40uL_r4,75.58,77.07763665812223,1.4976366581222322,1.9815250835171105,1,1268466.5,0.001261
d1_t3_40uL_r5,61.92,75.98662977777884,14.066629777778843,22.717425351710016,1,1250241.0,0.00128
d1_t3_60uL_r1,58.95,69.08466252238148,10.134662522381475,17.19196356638079,1,1265276.5,0.001265
d1_t3_60uL_r2,52.91,58.67683087641249,5.766830876412492,10.899321255740865,1,1256959.5,0.001273
d1_t3_60uL_r3,59.55,63.28181817092618,3.731818170926182,6.266697180396612,1,1251961.5,0.001278
d1_t3_60uL_r4,43.75,65.27753312762749,21.527533127627493,49.20579000600569,1,1251787.5,0.001278
d1_t3_60uL_r5,68.7,75.23810920308466,6.538109203084659,9.516898403325557,1,1261658.5,0.001268
d1_t3_80uL_r1,64.99,71.59916619547147,6.609166195471474,10.169512533422795,1,1303423.0,0.001228
d1_t3_80uL_r2,53.03,62.21465616279019,9.18465616279019,17.31973630546896,1,1256488.5,0.001273
d1_t3_80uL_r3,54.47,64.7058262155843,10.235826215584297,18.79167654779566,1,1257420.0,0.001272
d1_t3_80uL_r3B,57.03,64.69748577773895,7.667485777738946,13.44465330131325,1,1276080.5,0.001254
d1_t3_80uL_r4,62.37,70.84276823961359,8.472768239613593,13.58468532886579,1,1279159.5,0.001251
d1_t3_80uL_r5,56.78,75.86240196342061,19.082401963420608,33.6076117707302,1,1273695.5,0.001256
d1_t4_100uL_r1,62.42,72.04662221837113,9.626622218371125,15.422336139652554,1,1257941.0,0.001272
d1_t4_100uL_r2,73.67,77.2279364882135,3.5579364882134996,4.829559506194515,1,1255483.5,0.001274
d1_t4_100uL_r3,65.98,71.24759831687652,5.267598316876516,7.983628852495476,1,1253027.5,0.001277
d1_t4_100uL_r4,44.69,49.73705522515813,5.047055225158132,11.293477791806069,1,1258249.0,0.001272
d1_t4_100uL_r5,62.97,68.22116710781927,5.2511671078192705,8.339156912528619,1,1277902.5,0.001252
d1_t4_100uL_r6,61.85,68.13134112693777,6.281341126937768,10.15576576707804,1,1284472.0,0.001246
d1_t4_20uL_r1,49.52,53.16676251346141,3.646762513461404,7.364221553839669,1,1283298.0,0.001247
d1_t4_20uL_r2,67.64,74.01027726373809,6.370277263738089,9.417914346153296,1,1259090.0,0.001271
d1_t4_20uL_r3,62.41,70.15765886322103,7.747658863221034,12.414130529115582,1,1261045.5,0.001269
d1_t4_20uL_r4,55.65,62.6783013379872,7.028301337987202,12.629472305457684,1,1246275.0,0.001284
d1_t4_20uL_r5,70.12,75.7592646981633,5.639264698163302,8.042305616319597,1,1247868.5,0.001282
d1_t4_40uL_r1,62.27,67.91134888060365,5.641348880603651,9.059497158509156,1,1265838.5,0.001264
d1_t4_40uL_r2,61.16,61.27568367293713,0.11568367293713067,0.18914923632624372,1,1265298.0,0.001265
d1_t4_40uL_r3,58.61,64.36092123349967,5.7509212334996676,9.812184326053007,1,1283648.5,0.001246
d1_t4_40uL_r4,53.79,67.69585943416388,13.90585943416388,25.852127596512137,1,1265684.5,0.001264
d1_t4_40uL_r5,74.89,83.78641103729228,8.896411037292282,11.879304362788465,1,1261722.5,0.001268
d1_t4_60uL_r1,96.7,111.92627944760356,15.22627944760356,15.74589394788372,1,1260544.0,0.001269
d1_t4_60uL_r2,65.39,68.37307549028013,2.983075490280129,4.561975057776616,1,1265679.5,0.001264
d1_t4_60uL_r3,68.51,70.54362060023408,2.033620600234073,2.9683558607999894,1,1258092.5,0.001272
d1_t4_60uL_r4,64.04,71.23547832955502,7.195478329555016,11.235912444651804,1,1271074.5,0.001259
d1_t4_60uL_r5,68.11,73.23248689152439,5.122486891524389,7.520902791843179,1,1269884.5,0.00126
